Zone,cluster
Arménie,5
Afghanistan,1
Albanie,4
Algérie,5
Angola,1
Antigua-et-Barbuda,2
Argentine,5
Australie,3
Autriche,3
Bahamas,2
Barbade,5
Bangladesh,2
Bolivie (État plurinational de),2
Botswana,2
Brésil,5
Belize,2
Îles Salomon,1
Bulgarie,5
Myanmar,5
Cameroun,1
Canada,3
Cabo Verde,2
République centrafricaine,2
Sri Lanka,2
Tchad,1
Chili,5
"Chine, continentale",5
Colombie,5
Congo,2
Costa Rica,5
Cuba,5
Chypre,5
Azerbaïdjan,5
Bénin,1
Danemark,3
Dominique,5
République dominicaine,5
Bélarus,4
Équateur,2
Égypte,5
El Salvador,2
Estonie,4
Fidji,5
Finlande,3
France,3
Polynésie française,5
Djibouti,2
Géorgie,5
Gabon,1
Gambie,1
Allemagne,3
Bosnie-Herzégovine,5
Ghana,1
Kiribati,5
Grèce,4
Grenade,2
Guatemala,2
Guinée,1
Guyana,5
Haïti,2
Honduras,2
Chine - RAS de Hong-Kong,3
Hongrie,4
Croatie,4
Islande,3
Inde,2
Indonésie,2
Iran (République islamique d'),5
Iraq,1
Irlande,3
Israël,3
Italie,3
Côte d'Ivoire,1
Kazakhstan,5
Jamaïque,5
Japon,5
Jordanie,1
Kirghizistan,5
Kenya,1
Cambodge,2
République populaire démocratique de Corée,2
République de Corée,3
Koweït,5
Lettonie,4
République démocratique populaire lao,5
Liban,1
Lesotho,2
Libéria,1
Lituanie,4
Chine - RAS de Macao,3
Madagascar,1
Malawi,1
Malaisie,5
Maldives,1
Mali,1
Malte,3
Mauritanie,1
Maurice,5
Mexique,5
Mongolie,2
Maroc,5
Mozambique,1
République de Moldova,2
Namibie,2
Népal,2
Pays-Bas,3
Nouvelle-Calédonie,5
Macédoine du Nord,5
Vanuatu,2
Nouvelle-Zélande,5
Nicaragua,2
Niger,1
Nigéria,1
Norvège,3
Pakistan,2
Panama,5
Tchéquie,4
Paraguay,5
Pérou,5
Philippines,2
Pologne,4
Portugal,4
Guinée-Bissau,1
Timor-Leste,2
Zimbabwe,2
Roumanie,4
Rwanda,1
Fédération de Russie,4
Saint-Kitts-et-Nevis,2
Sainte-Lucie,5
Saint-Vincent-et-les Grenadines,5
Sao Tomé-et-Principe,1
Arabie saoudite,5
Sénégal,1
Sierra Leone,1
Slovénie,4
Slovaquie,5
Afrique du Sud,5
Espagne,4
Suriname,5
Tadjikistan,1
Eswatini,2
Suède,3
Suisse,3
Turkménistan,5
"Chine, Taiwan Province de",5
République-Unie de Tanzanie,1
Thaïlande,5
Togo,1
Trinité-et-Tobago,5
Oman,1
Tunisie,5
Turquie,5
Émirats arabes unis,3
Ouganda,1
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,3
Ukraine,5
États-Unis d'Amérique,3
Burkina Faso,1
Uruguay,5
Ouzbékistan,5
Venezuela (République bolivarienne du),2
Viet Nam,5
Éthiopie,1
Samoa,5
Yémen,1
Zambie,1
Belgique,3
Luxembourg,3
Serbie,5
Monténégro,4
Soudan,2
